[2025-05-02T22:49:30.836+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890287.json introuvable, j’ignore.
[2025-05-02T22:49:31.064+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890269.json introuvable, j’ignore.
[2025-05-02T22:49:31.278+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890269.json introuvable, j’ignore.
[2025-05-02T22:49:31.510+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890268.json introuvable, j’ignore.
[2025-05-02T22:49:31.853+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890268.json introuvable, j’ignore.
[2025-05-02T22:49:32.116+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890402.json introuvable, j’ignore.
[2025-05-02T22:49:32.391+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890402.json introuvable, j’ignore.
[2025-05-02T22:49:32.651+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890564.json introuvable, j’ignore.
[2025-05-02T22:49:32.842+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890564.json introuvable, j’ignore.
[2025-05-02T22:49:33.063+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890563.json introuvable, j’ignore.
[2025-05-02T22:49:33.281+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890563.json introuvable, j’ignore.
[2025-05-02T22:49:33.500+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890562.json introuvable, j’ignore.
[2025-05-02T22:49:33.716+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890562.json introuvable, j’ignore.
[2025-05-02T22:49:33.910+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890560.json introuvable, j’ignore.
[2025-05-02T22:49:34.111+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890560.json introuvable, j’ignore.
[2025-05-02T22:49:34.355+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890559.json introuvable, j’ignore.
[2025-05-02T22:49:34.593+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890559.json introuvable, j’ignore.
[2025-05-02T22:49:34.806+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890558.json introuvable, j’ignore.
[2025-05-02T22:49:35.019+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890558.json introuvable, j’ignore.
[2025-05-02T22:49:35.218+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890557.json introuvable, j’ignore.
[2025-05-02T22:49:35.424+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890557.json introuvable, j’ignore.
[2025-05-02T22:49:35.637+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890556.json introuvable, j’ignore.
[2025-05-02T22:49:35.864+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890556.json introuvable, j’ignore.
[2025-05-02T22:49:36.086+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890555.json introuvable, j’ignore.
