[2025-05-03T00:07:27.999+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890562.json introuvable, j’ignore.
[2025-05-03T00:07:28.193+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890562.json introuvable, j’ignore.
[2025-05-03T00:07:28.400+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890560.json introuvable, j’ignore.
[2025-05-03T00:07:28.617+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890560.json introuvable, j’ignore.
[2025-05-03T00:07:28.871+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890559.json introuvable, j’ignore.
[2025-05-03T00:07:29.095+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890559.json introuvable, j’ignore.
[2025-05-03T00:07:29.303+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890558.json introuvable, j’ignore.
[2025-05-03T00:07:29.504+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890558.json introuvable, j’ignore.
[2025-05-03T00:07:29.738+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890557.json introuvable, j’ignore.
[2025-05-03T00:07:29.977+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890557.json introuvable, j’ignore.
[2025-05-03T00:07:30.215+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890556.json introuvable, j’ignore.
[2025-05-03T00:07:30.456+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890556.json introuvable, j’ignore.
[2025-05-03T00:07:30.702+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890555.json introuvable, j’ignore.
[2025-05-03T00:07:30.956+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890555.json introuvable, j’ignore.
[2025-05-03T00:07:31.165+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890554.json introuvable, j’ignore.
[2025-05-03T00:07:31.370+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890554.json introuvable, j’ignore.
[2025-05-03T00:07:31.598+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890553.json introuvable, j’ignore.
[2025-05-03T00:07:31.805+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890553.json introuvable, j’ignore.
[2025-05-03T00:07:32.016+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890552.json introuvable, j’ignore.
[2025-05-03T00:07:32.259+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890552.json introuvable, j’ignore.
[2025-05-03T00:07:32.463+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890551.json introuvable, j’ignore.
[2025-05-03T00:07:32.695+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890551.json introuvable, j’ignore.
[2025-05-03T00:07:32.905+0000] {statsbomb_ingestion.py:119} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/9/3890550.json introuvable, j’ignore.
[2025-05-03T00:07:33.127+0000] {statsbomb_ingestion.py:129} WARNING - https://raw.githubusercontent.com/statsbomb/open-data/master/data/lineups/9/3890550.json introuvable, j’ignore.
